YearMonth,Heating_Oil_Price,CPI,Real_Heating_Oil_Price,Heating_Degree_Days,Date,Year,Month,Quarter,Price_Change,Price_PctChange,Price_MA3,HDD_Category,HDD_Lag1,HDD_Lag3
2009-02,2.451,212.705,0.0115230013398838,898.0,2009-02-01,2009,2,1,-0.00031564577972469955,-0.026662318467275847,0.011945249814788133,Severe,1244.0,648.0
2009-03,2.319,212.495,0.010913197957599,854.0,2009-03-01,2009,3,1,-0.0006098033822848001,-0.05292053383471618,0.011424948805697098,Severe,898.0,909.0
2009-04,2.354,212.709,0.0110667625723406,451.0,2009-04-01,2009,4,2,0.00015356461474159977,0.014071458736315767,0.0111676539566078,Cold,854.0,1244.0
2009-05,2.344,213.022,0.0110035583179202,195.0,2009-05-01,2009,5,2,-6.320425442039868e-05,-0.005711178314999454,0.010994506282619934,Mild,451.0,898.0
2009-06,2.449,214.79,0.01140183434983,82.0,2009-06-01,2009,6,2,0.00039827603190979895,0.036195203442614954,0.011157385080030266,Mild,195.0,854.0
2009-07,2.452,214.726,0.0114192040088298,16.0,2009-07-01,2009,7,3,1.7369658999800627e-05,0.0015234091696885166,0.01127486555886,Warm,82.0,451.0
2009-08,2.559,215.445,0.0118777414189236,6.0,2009-08-01,2009,8,3,0.0004585374100937994,0.040154936345759173,0.011566259925861133,Warm,16.0,195.0
2009-09,2.553,215.861,0.0118270553735968,91.0,2009-09-01,2009,9,3,-5.0686045326799045e-05,-0.004267313417519403,0.011708000267116733,Mild,6.0,82.0
2009-10,2.603,216.509,0.012022594903676,408.0,2009-10-01,2009,10,4,0.00019553953007919907,0.016533238739689038,0.011909130565398801,Cold,91.0,16.0
2009-11,2.79,217.234,0.0128432934071093,485.0,2009-11-01,2009,11,4,0.0008206985034333002,0.06826300894346571,0.012230981228127366,Cold,408.0,6.0
2009-12,2.788,217.347,0.0128274142270194,987.0,2009-12-01,2009,12,4,-1.5879180089899483e-05,-0.0012363791425266113,0.012564434179268233,Severe,485.0,91.0
2010-01,2.967,217.488,0.0136421319796954,1098.0,2010-01-01,2010,1,1,0.0008147177526759992,0.06351379461652495,0.0131042798712747,Severe,987.0,408.0
2010-02,2.89,217.281,0.013300748799941,891.0,2010-02-01,2010,2,1,-0.0003413831797543995,-0.02502418099036907,0.013256765002218599,Severe,1098.0,485.0
2010-03,2.908,217.353,0.0133791574075352,655.0,2010-03-01,2010,3,1,7.840860759419921e-05,0.005895052133797707,0.013440679395723867,Cold,891.0,987.0
2010-04,2.981,217.403,0.0137118623018081,362.0,2010-04-01,2010,4,2,0.00033270489427290016,0.024867402642674508,0.013463922836428098,Cold,655.0,1098.0
2010-05,2.913,217.29,0.0134060472180035,135.0,2010-05-01,2010,5,2,-0.0003058150838045996,-0.022302957619715458,0.0134990223091156,Mild,362.0,891.0
